구,빵집명,위치,한줄소개,대표메뉴,비고
유성구 ,그린베이커리,대전 유성구 테크노4로 80-7 1층 101호,쏠티카라멜 휘낭시에의 중독적인 맛,"연어샌드위치, 아보카도 갈릭새우 ",
,꾸드뱅,"대전 유성구 지족동로 146 1,2층 꾸드뱅베이커리",휘낭시에로 입안 가득 행복,"에그타르트, 크림브륄레",
,하루팡,대전 유성구 문화원로 77 예성그랑펠리체 1층 109호,다양한 메론빵의 달콤한 유혹,"야끼소바빵, 메론빵",
,연선흠베이커리카페,대전 유성구 지족로148번길 39-23 연선흠베이커리카페,아메리카노와 어울리는 모든 빵들,고구마 브리오슈,
,르뺑99-1,대전 유성구 온천북로33번길 22-3 101호,아름다운 공간에서 즐기는 빵 한 조각,소라 크림빵,
,베이커리하모니,대전 유성구 상대동로36번길 61-8 1층 상가,치아바타와 소금빵의 환상 조합,"소금빵, 올리브 치아바타 ",
,바울레커피,대전 유성구 관들1길 28 1층,산미 없이 부드러운 아메리카노 한잔,"말차 갸또쇼콜라, 무화과 스콘 ",
,파셀,대전 유성구 죽동로298번길 11 1층 101호,허니 리코타 포카치아의 달콤한 유혹,사워도우,
,후하우스,대전 유성구 계룡로 41 지상1층,다양한 맛으로 즐기는 쌀소금빵 천국,"쌀소금빵, 쌀식빵",
,로라네방앗간,대전 유성구 반석로11번길 65 1층,아침 햇살과 함께하는 올데이 샌드위치,잠봉뵈르,
,Leafful,대전 유성구 죽동로279번길 40 1층,공주 밤의 달콤함이 젤라또에 가득,"초당옥수수카라멜밀푀유, 카이막브레드",
,오드비베이크샵,대전 유성구 원신흥남로42번길 19-12 1층,겉은 바삭 속은 촉촉 소금빵,찹쌀모찌소금빵,
,스프링벅커피 앤 크로와상,대전 유성구 테크노4로 98-8 101호,아늑한 공간에서 즐기는 달콤한 휴식,"잠봉뵈르크로와상, 에그타르트",
,슬로우브레드,대전 유성구 유성대로 1734-1,촉촉한 마늘바게트의 매력,"마들렌, 갈릭바게트",
,로우베이크,대전 유성구 문지로 291 1층 114호,살구잼의 달콤함이 더해진 특별한 잠봉,살구잼 잠봉뵈르,
,리저트베이크샵,대전 유성구 노은서로112번길 84 1층 101호,겉바속촉 소금빵의 완벽한 식감,"하드크랙 소금빵, 소프트 소금빵",
,카페희스밀,대전 유성구 죽동로279번길 80,고풍스러운 홍차 전문점의 매력,애프터눈티세트,
,스모어사이트,대전 유성구 학하로 98 1층 101~104호,쿠키계의 에르메스,"쿠키, 에그타르트",
,소아브,대전 유성구 봉명서로 61-8 1층,프렌치토스트의 퐁신쵹쵹한 매력,프렌치토스트,
,구오베이크샵,대전 유성구 원신흥로40번길 11 1층 101호,소금빵으로 만나는 바삭함의 정석,"마늘바게트, 소금빵",
,어거스트홍미당,대전 유성구 하기로 34-21 어거스트홍미당,탄맛 깊은 아메리카노의 여운,소금빵,
,파이룸,대전 유성구 대학로 39-10 103호 파이룸,가성비 끝판왕 소금빵의 촉촉함,소금빵,
,토우베이크하우스,대전 유성구 신성남로111번길 28 1층,아인슈페너로 완성하는 카페 타임,"화이트롤, 크림 맘모스",
,노른자제과점,대전 유성구 온천서로 47 지상1층,르뱅쿠키로 전하는 달콤한 행복,"에그타르트, 크림브륄레",
,솔미당,대전 유성구 노은동로 111 열매마을 10단지아파트 상가동 1층,건강한 잡곡식빵의 든든함,소프트소금빵,
,라프레즈,대전 유성구 지족북로 49-3 1층 라프레즈디저트카페,레몬차의 적당한 달콤함,"쫀득식빵, 우유롤",
,베이커리 별,대전 유성구 엑스포로539번길 24-11 1층,치즈롤과 키리쉬 케이크의 달콤한 유혹,"토마토 바질페스포카치아, 호밀 샌드위치",
,시나몬 베이커리,대전 유성구 죽동로298번길 86 101호,다양한 맛으로 즐기는 휘낭시에 천국,"푸딩 에그타르트, 밀키마들렌",
,더 베이커,대전 유성구 상대동로2번길 5 1층,치아바타 샌드위치로 느끼는 행복 한입,샌드위치 ,
,우무리카페,대전 유성구 한우물로66번길 11 1층 샵우무리,,굴뚝빵 ,
,블레오셀,대전 유성구 전민로10번길 15 1층,올리브 치아바타가 전하는 풍부한 맛,올리브치아바타,
,이츠올라잇,대전 유성구 대학로145번길 13 1층이츠올라잇,흑임자의 고소함이 가득한 갸또의 매력,"마들렌, 까눌레",
,써틴브레드,대전 유성구 노은로 174,치아바타와 포카치아의 건강한 조합,치아바타 ,
,카페106,대전 유성구 봉명서로 3-4 1층,밤티라미수라떼로 달콤한 휴식,굴뚝빵 ,
,프레너리하우스,"대전 유성구 반석로11번길 8 101호, 102호",밀푀유와 에끌레어의 달콤한 유혹,"프렌치 바게트, 에끌레어",
,마들렌과자점,대전 유성구 은구비서로23번길 9,,마들렌,
,라다크,대전 유성구 반석로 53-20 101호,소금빵과 함께 즐기는 여유로운 시간,소금빵,
,베이커리아른,대전 유성구 대덕대로 588,앙버터 듬뿍 올린 소금빵의 달콤함,"마늘홀릭, 앙버터",
,온고베이커리,대전 유성구 반석로12번길 51 1층 101호,카프레제 샌드위치로 만나는 신선함,"유기농 플레인 사워도우, 소금빵",
,밀로베이크샵,대전 유성구 궁동로18번길 90 1층,다양한 맛의 소금빵 탐험,"탕종베이글, 토마토할라피뇨치아바타",
,대전 유성구 궁동로18번길 90 1층,대전 유성구 죽동로279번길 101 114호,바삭하고 진한 에그타르트의 풍미,"소금빵, 공주밤밭빵",
,아도레,대전 유성구 노은로 150 드래곤랜드 110호,달콤함이 가득한 크림크로와상의 유혹,"뀌니아망, 바닐라 생크림 크로와상",
,소담제빵소,대전 유성구 학하서로20번길 21 1층,국진이빵과 초코쌀식빵의 특별한 조화,"치즈모닝빵, 모찌식빵",
,크리베리,대전 유성구 계룡로 92 유성CJ나인파크,쫀득한 꽈배기와 고소한 밤식빵의 조화,"꽈배기, 밤식빵",
,피브완,대전 유성구 엑스포로123번길 34 102동 125호,다양한 메뉴로 가득한 달콤한 유혹,"곡물바게뜨, 컵프레지에",
,시나피 브런치 로스터리,대전 유성구 은구비서로24번길 45 1층 시나피 브런치 로스터리,잠봉뵈르의 풍미가 살아있는 샌드위치,포카치아 에그베네딕트 브런치,
,빨강벽돌집,대전 유성구 진잠로140번길 41,부드럽게 찢어지는 우유식빵의 매력,생크림케이크,
,크림 인 디저트 카페,대전 유성구 장대로 67-2 지상1층 크림 인,수제청으로 만든 상큼한 에이드 한 잔,바닐라약과쿠키,
,썸머나츠,대전 유성구 원신흥남로41번길 3-2 지상1층,김악힌 케이크로 만나는 색다른 맛,"키티 휘낭시에, 자두 순우유 케이크",
,포카치아 도노,대전 유성구 원신흥남로42번길 6-22 지상1층 포카치아 도노,다양한 메뉴가 가득한 포카치아 도노,프레시 모짜렐라 포카치아 샌드위치,
,Husked,대전 유성구 죽동로279번길 66 1층 허스크드,,"할라피뇨 치즈 소시지, 뺑 오 쇼콜라",
,"베이커리 오늘,도(BAKERY 오늘,DO)",대전 유성구 원신흥로55번길 53-2,뺑오쇼콜라로 전하는 달콤한 행복,"100% 우유식빵, 뺑오쇼콜라",
,블루보이즈,대전 유성구 반석동로40번길 92-29 1층 101호,소금빵과 커피가 만나는 완벽한 순간,바질 소금빵,
,또또찹쌀도나스,대전 유성구 계룡로 41-5,부드러운 꽈배기와 쫄깃 도나스의 조화,찹쌀도너츠,
,씨엘드프랑스과자점,대전 유성구 봉명로 27-11,다양한 빵과 커피의 완벽한 조화,식빵,
,밸더브롯,대전 유성구 대학로163번길 33 1층,다양한 롤 메뉴로 즐기는 달콤한 순간,"초코츄러스휘낭시에, 시나몬롤",
,소심,대전 유성구 지족로364번길 40 1층 201호,소금빵의 고소함이 살아있는 베이커리,소심 바게트,
,시나피 건강빵 연구소,대전 유성구 은구비서로24번길 50 시나피 건강빵 연구소,건강과 맛을 동시에 잡은 통밀빵,"단호박이좋아요샌드위치, 치아바타 불고기 샌드위치 ",
,단정오,대전 유성구 지족로349번길 16 1층,달지 않은 팥앙금이 매력적인 파르페,몽실몽실 감자빵,
,골목숲,대전 유성구 구즉로48번길 33 지상 2층,크린베리호두바게트로 느끼는 행복,비건 식빵,
,맛최고찹쌀꽈배기,대전 유성구 진잠로78번길 55 진잠로78번길55,바삭함 속에 숨은 쫄깃한 맛의 비밀,"꽈배기, 팥도너츠",
,부기스베이크샵,"대전 유성구 가정로 63 지상1층 102, 103호",다양한 풍미의 휘낭시에로 입맛 저격,"휘낭시에, 부기스 스콘",
,디저트 비결,대전 유성구 원신흥남로42번길 6-9 지상1층 103호,겉은 바삭 속은 촉촉한 에그타르트,"바닐라에그타르트, 컵케이크",
,남보현베이커리&커피,대전 유성구 봉산로 40,,"애기궁뎅이, 마늘바게트",
,갓구운빵천국,대전 유성구 봉산로 23,샌드위치에도 딱 맞는 신선한 식빵,식빵,
,오르앤쿠잉,대전 유성구 문지로299번길 129,크림치즈베베로 완성된 크림치즈의 매력,그림치즈베베,
,레프쿠헨제과점,대전 유성구 신성남로 63,호밀빵의 쫄깃함이 살아있는 건강함,"치아바타 샌드위치, 크로와상",
,브레드플레인/마레,대전 유성구 반석동로 68,건강과 맛을 동시에 잡은 통밀빵,식빵,
,오씨또베이커스,대전 유성구 어은로58번길 26 오씨또베이커스,프랑스 정통 바게트의 깊은 풍미,"크루와상, 프랑스정통바게트",
,프레 베르,대전 유성구 어은로48번길 29 1층,부드러운 초코 생크림 케이크 한 입,"플로랑탱 아망드, 오렌지 파운드",
,아미띠에베이커리,대전 유성구 진잠로145번길 16,,"햄치즈 에그토스트, 피자빵",
,정쿠키,대전 유성구 학하남로19번길 25 1층 102호,귀여운 포장으로 마음을 전하는 정쿠키,도토리쿠키,
,코지오이코스,대전 유성구 전민로26번길 31 지상1층,곰돌이 마들렌으로 전하는 귀여운 행복,,
서구,츄로츄로,대전 서구 둔산중로64번길 26 104호 츄로츄로,아이스크림과 함께하는 달콤한 조화,시나몬 츄러스,
,트리플디,대전 서구 둔산남로9번길 5 1층,신선한 과일이 가득한 케이크의 매력,"에스프레소티라미수, 떠먹는베리베리케이크",
,손수베이커리,대전 서구 관저동로 42 손수 베이커리,친절한 사장님과 함께하는 행복한 방문,"뽀또황치즈맘모스, 몰티져스초코맘모",
,이런날,대전 서구 갈마로 9 1층,샌드위치와 휘낭시에의 완벽한 조합,"피치모어, 빅토리아 케이",
,꾸드뱅베이커스하우스,대전 서구 둔산남로9번길 71 1층,일찍 가야 맛보는 품절 대란 메뉴들,"망고포레스트1호, 망고숲미니케이크",
,관저당,대전 서구 구봉산북로21번길 11,건강한 한 끼로 좋은 샌드위치,"생무화과샌드위치, 파프리카잠",
,미미제과점,대전 서구 갈마역로25번길 17-7 1층 상가,아기자기한 분위기에서 즐기는 디저트,"프레첼소금빵, 프레첼샌드위",
,베이크오프,대전 서구 관저동로 37-8 1층 베이크오프,버섯과 후무스의 건강한 조화 샌드위치,"치폴레아보카도, 프렌치샌드위",
,다람당,대전 서구 둔산로51번길 30 블랙타워 108호 다람당,소금빵으로 느끼는 오리지널리티,"플레인 스콘, 명란소금",
,오도르,대전 서구 도안동로 144-34 1층 101호(도안동),소금 베이글과 함께하는 맛있는 휴식,"소금 베이글, 화이트",
,투드커피,대전 서구 상보안길 105 투드커피,쫀득달달 햄스터 궁둥이 베이글의 유혹,"햄스터 궁둥이 베이글, 밤 휘낭시",
,두담브레드&카페,대전 서구 둔산중로72번길 32 1층 102호,명란소금빵으로 입맛 사로잡는 카페,"두바이 모찌방, 자색고구마 모찌",
,시오네베이크샵,대전 서구 남선로9번길 47-3 1층,버터풍미 가득한 잠봉뵈르 샌드위치,"소금빵, 퀸아",
,명지제과,대전 서구 정림로24번길 30 1층,바삭한 에그타르트의 커스터드 필링,"크랙 소금빵, 우유크림 소금",
,작은빵집 토포,"대전 서구 원도안로241번길 24-40 B1층, 작은빵집 토포",건강한 재료로 완성된 샌드위치의 매력,"잼&리코타 바게트, 클래식 sw",
,카페 양촌리,대전 서구 괴정로22번길 6 연노란색 건물,크림치즈와 소금빵의 환상 조합,"소금빵, 티라미",
,꾸꾸,대전 서구 원도안로25번길 88 1층 108호,감자 치아바타 한 입에 느껴지는 정성,"빵 오 쇼콜라, 들기름 치아바",
,후후베이크,대전 서구 한밭대로592번길 20 1층 101호,소금빵의 진수를 보여주는 후후베이크,"말돈 소금빵, 우유크림소금",
,라블랑제,대전 서구 원도안로224번안길 3 1층,다양한 샌드위치로 채우는 맛있는 시간,"라블랑샌드위치, 바질루꼴라잠봉뵈르",
,마이츄이브레드,대전 서구 관저중로 72 1층,깔끔한 매장에서 즐기는 여유로운 시간,"표명란씨, 쫀득이치아바",
,아담비(ADAMB.),대전 서구 용소로54번길 24,다양한 샌드위치로 채우는 행복,"샤워도우, 복숭아그릭치아바",
,어반멜로우,대전 서구 사마1길 50,하드빵과 샌드위치의 정점 어반멜로우,샌드위,
,솜솜베버리지,대전 서구 둔산로 72 1층 솜솜베버리지,친절한 서비스와 함께하는 맛있는 시간,"버터크림무화과프토, 생무화과프",
,싶빵공장,대전 서구 도안동로11번길 42 1층 107호,다양한 크루아상으로 입맛 저격,"데니쉬 식빵, 크루아",
,플로우브레드,대전 서구 신갈마로 75-4,통창 뷰에서 즐기는 햇살 가득한 카페,"햄에그샌드위치, 크루",
,목화제과,대전 서구 도산로393번길 13 1층,바삭한 에그타르트의 진한 풍미,"화이트볼, 페스츄리 에그타르",
,햐로,대전 서구 도안중로305번안길 8 햐로,바삭한 바게트와 고소한 커피의 조화,"연유크린베리, 잠봉샌드위",
,갓굼,대전 서구 둔지로 46 106호,진한 초코맛의 브라우니 강추,"컨트리브레드, 통밀 100% 크랜베리 호두 캄파",
,각이당,대전 서구 원도안로224번안길 10 하얀벽돌상가 각이당,넓은 공간에서 즐기는 여유로운 한입,"수제비 소금빵, 황치즈/블루베리 수제비",
,affection,대전 서구 도솔로412번길 42 1층 어펙션,겉바속촉 정석 소금빵의 매력,소금,
,하디앤소프티,"대전 서구 도안북로93번길 31 108, 109호",허니버터바게트로 달콤함 충전,"샤워도우샌드위치, 에그소금",
,유어사이드,대전 서구 둔지로 46 2층,신선한 딸기부터 망고까지 풍성한 선택,"망고수플레, 딸기수플",
,봉슈,대전 서구 문정로112번길 54-9,소금초코휘낭시에의 짭조름한 매력,"쏠티캬라멜휘낭시에, 레드벨벳쫀득쿠",
,몽글베이커리,대전 서구 계백로 1145 좋은빌딩107호 몽글베이커리,상큼한 레몬마들렌의 향긋함,"빵떼께주, 미니호두식",
,웬위럽,대전 서구 월평새뜸로20번길 14 1층,소금빵의 풍미와 휘낭시에의 달콤함,"소금빵, 휘낭시",
,카페지니,대전 서구 갈마중로7번길 29 1층 104호 카페지니,에그마요와 소금빵의 완벽한 조화,"통밀소긍빵, 통밍앙버터소금",
,앤드앤드앤드,대전 서구 원도안로179번길 22-35 1층 101호,토마토 수프와 베이글의 완벽한 조화,베이글,
,블라썸케이크,대전 서구 도산로341번길 96 롯데드림빌 1층 블라썸케이크,소금빵 러스크로 즐기는 바삭한 매력,"머랭쿠키, 소긍빵러스",
,당신을 위한 빵집,대전 서구 월평북로 11 주공1단지 상가 1층 104호,친절한 사장님과 맛있는 쌀빵의 만,"호두파이, 쌀 바게",
,빵순상점,대전 서구 가장로 66 2층,밤식빵으로 든든한 한 끼,"안먹으면 후회하는 큼지막한 에그타르트, 화이트롤",
,오픈오븐,대전 서구 갈마역로25번길 7 102호,입안 가득 퍼지는 에그타르트의 풍미,"크로아상, 몽블",
,홍월당,대전 서구 사마7길 12,북 크림치즈빵의 쫄깃한 유혹,북빵,
,리사앤플라워,대전 서구 관저남로25번길 23-48 1층,고소함 가득한 소금빵의 특별한 맛,"치아바타 샌드위치, 무화과깜파",
,빠스츄리,대전 서구 도안북로117번길 61 1층 102호,담백한 소금빵으로 느끼는 행복 한 입,"달크림크로와상, 피스타치오크림크로와",
,빵드슈,대전 서구 문정로170번길 7-9 제니빌 1층,겉은 바삭 속은 촉촉 휘낭시에의 정석,"소금빵, 잠봉뵈르 소금",
,카페루엘,대전 서구 복수남로36번길 27 101호,합리적인 가격에 즐기는 맛있는 디저트,"고메버터 소금빵, 마카오식에그타르",
,당당베이커리,대전 서구 문정로112번안길 47 1층 102호,크럼블 케이크와 버터바의 환상 조화,"황치즈 쫀득 버터바, 초코 페레로로쉐 쿠",
,투미,대전 서구 구봉산북로7번길 63 1층,크림치즈 휘낭시에로 입안 가득 행복,"프렌치 토스트, 루꼴라 샌드위",
,제이빈스카페,대전 서구 계룡로562번길 72 1~2층,아샷추 한 잔으로 느끼는 특별한 휴식,"도시락 생딸기 케이크, 미니 소금",
,이루미,대전 서구 둔산남로175번길 23 1층,맘모스와 치즈케이크의 완벽한 만남,"두바이초코 떠먹케, 쑥단호박 떠먹",
,오브드빵,대전 서구 도솔로412번길 10 1층 101호,입안 가득 퍼지는 에그타르트의 풍미,"우유마들렌, 클레식 휘낭시",
,코리아팥빵,대전 서구 둔산남로 99,부드러운 크림과 팥의 완벽한 조화,"팥빵, 생크림 팥",
,빵앗간,대전 서구 관저중로84번길 9-7 1층,통밀빵의 깊은 풍미로 전하는 건강함,"맘모스빵, 앙버",
,빵나라,대전 서구 도산로 70,매일 아침 구워내는 따뜻한 빵의 향기,"마늘빵, 초코파",
,원주율,대전 서구 도솔로 461 원주율,펌킨파이의 부드러운 매력,"펌킨파이, 복숭아그릭요거파",
,빌데꼬빵,대전 서구 계룡로354번길 56 1층,다양한 베이글로 가득한 행복한 선택,"소금빵, 에멘탈크림치",
,롤라리틀베이커리 둔산,대전 서구 둔산남로9번길 85 성진빌 1층,소금빵베이글의 버터향 가득한 행복,"토마토바질크림치즈베이글샌드위치, 대파크림치즈 당근파이, 납작복숭아 딸기요맘때 베이글",
,하레하레 둔산점,대전 서구 둔산로 155 크로바아파트 제상가동 1층,야끼소바와 함께하는 특별한 한입,"딸기밭, 쌀하레치즈, 딸기타르트, 마시멜로우 속 갸또, 못난이 녹차인절미, 소금빵, 명장 단팥빵, 샌드쿠키",
,하레하레 갤러리아 타임월드점,대전 서구 대덕대로 211 갤러리아백화점 타임월드점 지하 2층 델리샵,입안 가득 부드러운 쌀카스테라의 매력,"쌀치즈카스테라, 소금빵, 딸기밭, 딸기타르트, 순수우유롤",
,홍미당 갤러리아타임월드점대전,대전 서구 대덕대로 211 갤러리아백화점 타임월드점 11층,,"페이글, 소금식빵, 크림크루아상",
,서로히,대전 서구 둔산중로64번길 32,커피와 함께하는 달콤한 쿠키 타임,"유기농밀가루 쿠키, 쌀로만든 소금빵, 유기농 밀가루 휘낭시에",
,에어온,대전 서구 대덕대로220번길 32 1층,다양한 디저트와 함께하는 달콤한 시간,쑥 케이크,
동구,하늘만큼,대전 동구 동부로33번길 46-58 하늘만큼 카페,부드러운 크림의 아인슈페너 명소,,
,빵 한모금,대전 동구 백룡로5번길 59 1층 빵 한모금,잠봉뵈르로 완성하는 샌드위치의 정석,"크로와상, 미트파이",
,정동문화사,대전 동구 창조2길 11,페스츄리 같은 에그타르트의 매력,"까눌레, 휘낭시에",
,플라잉스콘 대전복합터미널점,대전 동구 동서대로 1700 1층,달인의 손길로 만든 명품 스콘,스콘,
,롤라,대전 동구 회남로275번길 123,가족과 함께하는 즐거운 나들이 장소,,
,폴레폴레 동부점,대전 동구 계족로 521 폴레폴레,24시간 언제나 편안한 카페 휴식처,"골든 시금치 치아바타, 이즈니소금빵",
,캔디콥스하우스,대전 동구 계족로511번길 31 1층 캔디콥스하우스,해피 애플 파이가 전하는 상큼한 유혹,"바닐라빈 에그타르트, 크림필드 초콜릿 소금빵, 해피 애플 파이, 클래식 크로와상, 소프트 소금빵, 밀크 크림 레밍턴",
,모노브레드타임,대전 동구 동구청로 65-102,가격 걱정 없이 즐기는 맛있는 한 끼,,
,베이크샵 수하 용전점,"대전 동구 계족로 416 1층, 베이크샵 수하",고소함이 가득한 치아바타 샌드위치,크라상,
,지은집,대전 동구 장수2길 2 지은집,쑥라떼의 고소한 매력,,
,빵굽는 마을,대전 동구 우암로 397,,,
,카페하소,대전 동구 산내로 257 카페 하소,감성적인 분위기에서 마시는 아메리카노,,
,카페라밸리,대전 동구 곤룡로 68-9 2층,자연과 어우러진 편안한 휴식처,,
,라노브,대전 동구 동대전로 326 라노보 1.2층,친절한 서비스와 맛있는 음식의 조화,"9900 브런치세트, 디너세트, 루꼴라리코타치즈피자",
,모네갤러리카페,대전 동구 대청호수로428번길 99,라이브 공연으로 가득한 감성 카페,,
,신이내린오후,대전 동구 새울로 98-21,브런치 플래터와 함께하는 행복한 한때,"SINO 브런치 세트, 시노샌드위치",
,수월래,대전 동구 대동천우안5길 98 (소제동298-15) 수월래,모던과 전통이 공존하는 감성 스페이스,,
,어썸80더대청,대전 동구 회남로79번길 107 (신상 동) 1층,야외 테라스에서 즐기는 자연 속 휴식,,
,이동수베이커리,대전 동구 은어송로 60 101호,,"소금빵, 단팥빵, 크림빵, 우유식빵, 우유 생크림 케이크",
,굿베이커리,대전 동구 동대전로 272 타임빌딩 1층 102호,건강한 쌀식빵으로 시작하는 하루,쌀식빵,
,베이커리카페 온향,대전 동구 대전로 599 1층,촉촉한 마들렌과 고소한 몽블랑의 조화,"베이비만주, 마카롱, 호밀빵",
,모모베이커리,대전 동구 동구청로 35 하늘채상가내 1층 모모베이커리,치즈케이크와 함께하는 특별한 순간,,
,내가아는카페,대전 동구 용운로 117 1층,아인슈페너 한 잔의 달콤한 휴식,"마늘바게트, 나가사키 카스테라",
,레이크뷰,대전 동구 회남로275번길 197-6 1층,시금치 피자와 함께하는 브런치의 정석,,
,따스한,대전 동구 새울로 14 2층 따스한,망고요거트스무디의 상큼한 매력,"소금빵, 빅크루아상, 생크림카스테라",
,캠프603,"대전 동구 동구청로 89-22 301, 302호",소금빵과 함께하는 달콤한 휴식,"소금빵, 소금이세자매 세트",
,착한빵,대전 동구 한밭대로1237번길 45,친절함과 맛이 함께하는 동네 사랑방,"베비만주, 동물쿠키",
,카페22도,대전 동구 동광장로 19-1 1층,소금빵의 쫄깃함이 살아있는 맛집,딸기 순우유 케이크,
,성북당 십원빵 대전보건대점,대전 동구 충정로 29 하랑빌 101호,,성북당 십원빵,
,오렌지트리,대전 동구 대전로1002번길 24-7 1층,시오빵으로 완성하는 소박한 행복,크로와상,
,작은숩,대전 동구 성동로 17,고양이 까망이와 함께하는 달콤한 휴식,"감자빵, 에그타르트",
,도안양과점 대전 가양직영점,대전 동구 우암로 314 1층,특별한 크림으로 완성된 퀸아망의 풍미,"소금 베이글, 하트 바스크 치즈케이크",
,청년꽈배기,대전 동구 홍도로 16 청년꽈배기,,"수제 점보 핫도그, 소떡소떡",
,파시파시,대전 동구 성남로 15 1층 104호,,검은콩쌀식빵,
,플라잉스콘 대전역점,대전 동구 중앙로 215 3층,고소함 가득한 커피와의 조화,,
,글로리아제과점,대전 동구 역전시장길 2,맛있고 친절한 서비스의 완벽 조화,,
,언니네빵집,대전 동구 비래서로42번길 104 1층,입안 가득 고소한 소금빵의 매력,"쫀득쿠키, 소금빵",
,안가네대추빵 대전점,대전 동구 동서대로1668번길 28 1층 안가네대추빵 대전점,,대추빵,
,황제찹쌀꽈배기,대전 동구 대전로542번길 95 1층,,울금찹쌀꽈배기,
,꽈백최선생 성남점,대전 동구 동서대로1668번길 28 1층,,꽈배기,
,구움베이커리,대전 동구 동대전로 99 1층,크림치즈 가득 담긴 소금빵의 매력,"속이 꽈악 찬 붕어빵, 두바이식 초콜릿, 꾸덕 브라우니, 꾸덕 버터바, 바삭 소금빵",
,붕어제작소 본점,대전 동구 대전로785번길 50 에이스분식 앞 붕어제작소,,"통치즈 엄마붕어빵, 팥밤호두 엄마붕어빵, 피자 엄마붕어빵",
,소금한조각,대전 동구 백룡로57번길 129 102호,바삭함으로 완성된 크랙소금빵의 정석,"크랙 소금빵, 갈릭크림치즈 소금빵, 우유크림 소금빵, 사랑에빠진딸기 모찌빵",
,베이커리히읗,대전 동구 동서대로1778번길 89 1층,갓 구운 소금빵의 고소한 유혹,"크루아상, 뺑오쇼콜라",
,외계인방앗간 대전가수원점,대전 동구 계족로140번길 60 1층,,"순쌀식빵, 블루베리식빵, 무화과식빵",
,크로바제과점,대전 동구 용운로 170-1 크로바제과점,,"찹쌀꽈베기, 사라다 버거",
,145디저트,대전 동구 대전로 935 상가동 205호,,"머랭쿠키, 얼그레이마들렌",
,콜드버터베이크샵 본점,대전 중구 중앙로112번길 37 1층 일부 1호,후추 향이 더해진 특별한 소금빵,"크랙 소금빵, 생우유크림 소금빵, 황치즈 휘낭시에, 실크 푸딩 에그타르트, 고구마치케 모찌빵",